,muh,mux,success_rate
633,1.2,2.1,0.672
634,1.2,2.2,0.718
635,1.2,2.3,0.764
636,1.2,2.4,0.736
637,1.2,2.5,0.67
638,1.2,2.6,0.666
639,1.2,2.7,0.562
640,1.2,2.8,0.546
641,1.2,2.9,0.524
642,1.2,3.0,0.474
643,1.2,3.1,0.382
644,1.2,3.2,0.438
645,1.2,3.3,0.356
646,1.2,3.4,0.318
647,1.2,3.5,0.294
648,1.2,3.6,0.262
649,1.2,3.7,0.228
650,1.2,3.8,0.204
651,1.2,3.9,0.222
652,1.2,4.0,0.224
653,1.2,4.1,0.166
654,1.2,4.2,0.174
655,1.2,4.3,0.174
656,1.2,4.4,0.182
657,1.2,4.5,0.152
658,1.2,4.6,0.136
659,1.2,4.7,0.136
660,1.2,4.8,0.128
661,1.2,4.9,0.11
662,1.2,5.0,0.114
663,1.3,0.0,0.782
664,1.3,0.1,0.752
665,1.3,0.2,0.802
666,1.3,0.3,0.756
667,1.3,0.4,0.78
668,1.3,0.5,0.78
669,1.3,0.6,0.746
670,1.3,0.7,0.764
671,1.3,0.8,0.75
672,1.3,0.9,0.754
673,1.3,1.0,0.738
674,1.3,1.1,0.738
675,1.3,1.2,0.782
676,1.3,1.3,0.776
677,1.3,1.4,0.778
678,1.3,1.5,0.798
679,1.3,1.6,0.776
680,1.3,1.7,0.762
681,1.3,1.8,0.748
682,1.3,1.9,0.732
683,1.3,2.0,0.69
684,1.3,2.1,0.722
685,1.3,2.2,0.73
686,1.3,2.3,0.728
687,1.3,2.4,0.712
688,1.3,2.5,0.744
689,1.3,2.6,0.696
690,1.3,2.7,0.65
691,1.3,2.8,0.612
692,1.3,2.9,0.546
693,1.3,3.0,0.49
694,1.3,3.1,0.432
695,1.3,3.2,0.438
696,1.3,3.3,0.344
697,1.3,3.4,0.36
698,1.3,3.5,0.316
699,1.3,3.6,0.292
700,1.3,3.7,0.266
701,1.3,3.8,0.248
702,1.3,3.9,0.224
703,1.3,4.0,0.186
704,1.3,4.1,0.22
705,1.3,4.2,0.184
706,1.3,4.3,0.18
707,1.3,4.4,0.172
708,1.3,4.5,0.154
709,1.3,4.6,0.134
710,1.3,4.7,0.156
711,1.3,4.8,0.146
712,1.3,4.9,0.12
713,1.3,5.0,0.152
714,1.4,0.0,0.794
715,1.4,0.1,0.79
716,1.4,0.2,0.766
717,1.4,0.3,0.812
718,1.4,0.4,0.776
719,1.4,0.5,0.782
720,1.4,0.6,0.756
721,1.4,0.7,0.768
722,1.4,0.8,0.776
723,1.4,0.9,0.776
724,1.4,1.0,0.788
725,1.4,1.1,0.766
726,1.4,1.2,0.756
727,1.4,1.3,0.79
728,1.4,1.4,0.764
729,1.4,1.5,0.798
730,1.4,1.6,0.766
731,1.4,1.7,0.716
732,1.4,1.8,0.742
733,1.4,1.9,0.73
734,1.4,2.0,0.724
735,1.4,2.1,0.698
736,1.4,2.2,0.708
737,1.4,2.3,0.718
738,1.4,2.4,0.702
739,1.4,2.5,0.748
740,1.4,2.6,0.72
741,1.4,2.7,0.672
742,1.4,2.8,0.62
743,1.4,2.9,0.624
744,1.4,3.0,0.582
745,1.4,3.1,0.514
746,1.4,3.2,0.5
747,1.4,3.3,0.424
748,1.4,3.4,0.374
749,1.4,3.5,0.332
750,1.4,3.6,0.316
751,1.4,3.7,0.292
752,1.4,3.8,0.268
753,1.4,3.9,0.256
754,1.4,4.0,0.234
755,1.4,4.1,0.216
756,1.4,4.2,0.22
757,1.4,4.3,0.176
758,1.4,4.4,0.186
759,1.4,4.5,0.152
760,1.4,4.6,0.158
761,1.4,4.7,0.134
762,1.4,4.8,0.144
763,1.4,4.9,0.15
764,1.4,5.0,0.152
765,1.5,0.0,0.768
766,1.5,0.1,0.764
767,1.5,0.2,0.78
768,1.5,0.3,0.798
769,1.5,0.4,0.798
770,1.5,0.5,0.766
771,1.5,0.6,0.76
772,1.5,0.7,0.764
773,1.5,0.8,0.776
774,1.5,0.9,0.736
775,1.5,1.0,0.764
776,1.5,1.1,0.782
777,1.5,1.2,0.772
778,1.5,1.3,0.788
779,1.5,1.4,0.772
780,1.5,1.5,0.784
781,1.5,1.6,0.79
782,1.5,1.7,0.758
783,1.5,1.8,0.738
784,1.5,1.9,0.726
785,1.5,2.0,0.742
786,1.5,2.1,0.712
787,1.5,2.2,0.738
788,1.5,2.3,0.718
789,1.5,2.4,0.668
790,1.5,2.5,0.708
791,1.5,2.6,0.742
792,1.5,2.7,0.738
793,1.5,2.8,0.692
794,1.5,2.9,0.634
795,1.5,3.0,0.564
796,1.5,3.1,0.574
797,1.5,3.2,0.492
798,1.5,3.3,0.446
799,1.5,3.4,0.41
800,1.5,3.5,0.38
801,1.5,3.6,0.3
802,1.5,3.7,0.346
803,1.5,3.8,0.316
804,1.5,3.9,0.262
805,1.5,4.0,0.26
806,1.5,4.1,0.246
807,1.5,4.2,0.208
808,1.5,4.3,0.202
809,1.5,4.4,0.174
810,1.5,4.5,0.168
811,1.5,4.6,0.158
812,1.5,4.7,0.158
813,1.5,4.8,0.142
814,1.5,4.9,0.154
815,1.5,5.0,0.128
816,1.6,0.0,0.784
817,1.6,0.1,0.782
818,1.6,0.2,0.768
819,1.6,0.3,0.762
820,1.6,0.4,0.764
821,1.6,0.5,0.808
822,1.6,0.6,0.788
823,1.6,0.7,0.762
824,1.6,0.8,0.762
825,1.6,0.9,0.756
826,1.6,1.0,0.768
827,1.6,1.1,0.764
828,1.6,1.2,0.738
829,1.6,1.3,0.796
830,1.6,1.4,0.75
831,1.6,1.5,0.786
832,1.6,1.6,0.808
833,1.6,1.7,0.774
834,1.6,1.8,0.762
835,1.6,1.9,0.742
836,1.6,2.0,0.71
837,1.6,2.1,0.73
838,1.6,2.2,0.724
839,1.6,2.3,0.674
840,1.6,2.4,0.698
841,1.6,2.5,0.718
842,1.6,2.6,0.728
843,1.6,2.7,0.702
844,1.6,2.8,0.734
845,1.6,2.9,0.722
846,1.6,3.0,0.672
847,1.6,3.1,0.612
848,1.6,3.2,0.57
849,1.6,3.3,0.484
850,1.6,3.4,0.434
851,1.6,3.5,0.406
852,1.6,3.6,0.398
853,1.6,3.7,0.314
854,1.6,3.8,0.278
855,1.6,3.9,0.296
856,1.6,4.0,0.254
857,1.6,4.1,0.256
858,1.6,4.2,0.228
859,1.6,4.3,0.206
860,1.6,4.4,0.204
861,1.6,4.5,0.2
862,1.6,4.6,0.188
863,1.6,4.7,0.19
864,1.6,4.8,0.134
865,1.6,4.9,0.142
866,1.6,5.0,0.15
867,1.7,0.0,0.746
868,1.7,0.1,0.802
869,1.7,0.2,0.768
870,1.7,0.3,0.794
871,1.7,0.4,0.786
872,1.7,0.5,0.798
873,1.7,0.6,0.782
874,1.7,0.7,0.77
875,1.7,0.8,0.782
876,1.7,0.9,0.81
877,1.7,1.0,0.748
878,1.7,1.1,0.79
879,1.7,1.2,0.74
880,1.7,1.3,0.786
881,1.7,1.4,0.752
882,1.7,1.5,0.742
883,1.7,1.6,0.77
884,1.7,1.7,0.776
885,1.7,1.8,0.79
886,1.7,1.9,0.75
887,1.7,2.0,0.758
888,1.7,2.1,0.75
889,1.7,2.2,0.712
890,1.7,2.3,0.71
891,1.7,2.4,0.656
892,1.7,2.5,0.7
893,1.7,2.6,0.724
894,1.7,2.7,0.748
895,1.7,2.8,0.72
896,1.7,2.9,0.732
897,1.7,3.0,0.696
898,1.7,3.1,0.632
899,1.7,3.2,0.594
900,1.7,3.3,0.518
901,1.7,3.4,0.534
902,1.7,3.5,0.444
903,1.7,3.6,0.43
904,1.7,3.7,0.402
905,1.7,3.8,0.328
906,1.7,3.9,0.308
907,1.7,4.0,0.328
908,1.7,4.1,0.252
909,1.7,4.2,0.25
910,1.7,4.3,0.21
911,1.7,4.4,0.216
912,1.7,4.5,0.172
913,1.7,4.6,0.196
914,1.7,4.7,0.192
915,1.7,4.8,0.164
916,1.7,4.9,0.138
917,1.7,5.0,0.152
918,1.8,0.0,0.748
919,1.8,0.1,0.806
920,1.8,0.2,0.766
921,1.8,0.3,0.752
922,1.8,0.4,0.792
923,1.8,0.5,0.768
924,1.8,0.6,0.754
925,1.8,0.7,0.794
926,1.8,0.8,0.786
927,1.8,0.9,0.748
928,1.8,1.0,0.77
929,1.8,1.1,0.764
930,1.8,1.2,0.784
931,1.8,1.3,0.742
932,1.8,1.4,0.76
933,1.8,1.5,0.77
934,1.8,1.6,0.756
935,1.8,1.7,0.762
936,1.8,1.8,0.782
937,1.8,1.9,0.812
938,1.8,2.0,0.774
939,1.8,2.1,0.764
940,1.8,2.2,0.716
941,1.8,2.3,0.73
942,1.8,2.4,0.714
943,1.8,2.5,0.68
944,1.8,2.6,0.694
945,1.8,2.7,0.672
946,1.8,2.8,0.744
947,1.8,2.9,0.732
948,1.8,3.0,0.728
949,1.8,3.1,0.682
950,1.8,3.2,0.632
951,1.8,3.3,0.606
952,1.8,3.4,0.52
953,1.8,3.5,0.49
954,1.8,3.6,0.476
955,1.8,3.7,0.416
956,1.8,3.8,0.372
957,1.8,3.9,0.35
958,1.8,4.0,0.308
959,1.8,4.1,0.278
960,1.8,4.2,0.252
961,1.8,4.3,0.244
962,1.8,4.4,0.242
963,1.8,4.5,0.218
964,1.8,4.6,0.204
965,1.8,4.7,0.196
966,1.8,4.8,0.172
967,1.8,4.9,0.118
968,1.8,5.0,0.176
969,1.9,0.0,0.792
970,1.9,0.1,0.808
971,1.9,0.2,0.796
972,1.9,0.3,0.798
973,1.9,0.4,0.768
974,1.9,0.5,0.76
975,1.9,0.6,0.776
976,1.9,0.7,0.786
977,1.9,0.8,0.776
978,1.9,0.9,0.828
979,1.9,1.0,0.762
980,1.9,1.1,0.77
981,1.9,1.2,0.772
982,1.9,1.3,0.74
983,1.9,1.4,0.77
984,1.9,1.5,0.706
985,1.9,1.6,0.77
986,1.9,1.7,0.736
987,1.9,1.8,0.778
988,1.9,1.9,0.802
989,1.9,2.0,0.802
990,1.9,2.1,0.79
991,1.9,2.2,0.754
992,1.9,2.3,0.766
993,1.9,2.4,0.738
