,mu,sigma,success_rate
8590,2.8,0.05,0.12833333333333333
8591,2.8,0.06,0.141
8592,2.8,0.07,0.13533333333333333
8593,2.8,0.08,0.15133333333333332
8594,2.8,0.09,0.141
8595,2.8,0.1,0.13966666666666666
8596,2.8,0.11,0.14933333333333335
8597,2.8,0.12,0.145
8598,2.8,0.13,0.15433333333333332
8599,2.8,0.14,0.167
8600,2.8,0.15,0.17566666666666667
8601,2.8,0.16,0.171
8602,2.8,0.17,0.17633333333333334
8603,2.8,0.18,0.181
8604,2.8,0.19,0.184
8605,2.8,0.2,0.19
8606,2.8,0.21,0.19466666666666665
8607,2.8,0.22,0.20733333333333334
8608,2.8,0.23,0.22133333333333333
8609,2.8,0.24,0.21633333333333332
8610,2.8,0.25,0.218
8611,2.8,0.26,0.23
8612,2.8,0.27,0.25433333333333336
8613,2.8,0.28,0.2613333333333333
8614,2.8,0.29,0.25033333333333335
8615,2.8,0.3,0.27066666666666667
8616,2.8,0.31,0.27566666666666667
8617,2.8,0.32,0.2836666666666667
8618,2.8,0.33,0.31333333333333335
8619,2.8,0.34,0.29633333333333334
8620,2.8,0.35,0.31233333333333335
8621,2.8,0.36,0.33366666666666667
8622,2.8,0.37,0.3283333333333333
8623,2.8,0.38,0.37233333333333335
8624,2.8,0.39,0.36
8625,2.8,0.4,0.379
8626,2.8,0.41,0.3983333333333333
8627,2.8,0.42,0.4023333333333333
8628,2.8,0.43,0.3953333333333333
8629,2.8,0.44,0.419
8630,2.8,0.45,0.4236666666666667
8631,2.8,0.46,0.462
8632,2.8,0.47,0.47433333333333333
8633,2.8,0.48,0.48
8634,2.8,0.49,0.5046666666666667
8635,2.8,0.5,0.5026666666666667
8636,2.8,0.51,0.515
8637,2.8,0.52,0.5276666666666666
8638,2.8,0.53,0.5426666666666666
8639,2.8,0.54,0.545
