$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
8.9,10.9,-3.8,-1.7999999999999998,0.129
-1.6,0.3999999999999999,-4.0,-2.0,0.409
14.4,16.4,0.2,2.2,0.115
15.2,17.2,0.7,2.7,0.129
-0.8,1.2,-3.5,-1.5,0.317
4.9,6.9,0.5,2.5,0.136
2.0,4.0,-1.5,0.5,0.19
12.4,14.4,-1.3,0.7,0.129
11.6,13.6,-1.8,0.19999999999999996,0.115
0.6,2.6,-2.5,-0.5,0.235
1.4,3.4,-2.0,0.0,0.191
0.0,2.0,-3.0,-1.0,0.242
4.1,6.1,0.0,2.0,0.134
13.9,15.9,-0.3,1.7,0.085
13.0,15.0,-0.8,1.2,0.115
3.4,5.4,-0.5,1.5,0.168
2.8,4.8,-1.0,1.0,0.159
10.3,12.3,-2.8,-0.7999999999999998,0.129
9.6,11.6,-3.3,-1.2999999999999998,0.129
-1.5,0.5,-4.0,-2.0,0.365
9.0,11.0,-3.8,-1.7999999999999998,0.085
14.5,16.5,0.2,2.2,0.129
11.1,13.1,-2.3,-0.2999999999999998,0.085
2.1,4.1,-1.5,0.5,0.204
1.5,3.5,-2.0,0.0,0.182
11.7,13.7,-1.8,0.19999999999999996,0.129
5.0,7.0,0.5,2.5,0.133
-0.7,1.3,-3.5,-1.5,0.278
0.7,2.7,-2.5,-0.5,0.215
15.3,17.3,0.7,2.7,0.085
12.5,14.5,-1.3,0.7,0.085
13.1,15.1,-0.8,1.2,0.129
2.9,4.9,-1.0,1.0,0.168
10.4,12.4,-2.8,-0.7999999999999998,0.085
14.0,16.0,-0.3,1.7,0.109
0.1,2.1,-3.0,-1.0,0.245
3.5,5.5,-0.5,1.5,0.139
4.2,6.2,0.0,2.0,0.152
14.6,16.6,0.2,2.2,0.085
9.7,11.7,-3.3,-1.2999999999999998,0.085
2.2,4.2,-1.5,0.5,0.154
-1.4,0.6000000000000001,-4.0,-2.0,0.295
11.2,13.2,-2.3,-0.2999999999999998,0.109
